Date,Precipitation (mm/day)
1/1/1990,2.312054795
2/1/1990,1.937945205
3/1/1990,3.691232877
4/1/1990,1.765753425
5/1/1990,0.360547945
6/1/1990,0.772465753
7/1/1990,0.2
8/1/1990,1.09369863
9/1/1990,0.700410959
10/1/1990,1.577671233
11/1/1990,0.747260274
12/1/1990,2.449315068
1/1/1991,3.958219178
2/1/1991,3.743835616
3/1/1991,2.483287671
4/1/1991,0.299452055
5/1/1991,0.489589041
6/1/1991,0.709041096
7/1/1991,0.120684932
8/1/1991,0.61109589
9/1/1991,1.377123288
10/1/1991,5.302328767
11/1/1991,2.305753425
12/1/1991,2.867671233
1/1/1992,1.639863014
2/1/1992,2.306986301
3/1/1992,1.678082192
4/1/1992,0.898356164
5/1/1992,0.194794521
6/1/1992,0.668493151
7/1/1992,0.422191781
8/1/1992,1.372876712
9/1/1992,0.628356164
10/1/1992,1.963835616
11/1/1992,2.458767123
12/1/1992,1.49369863
1/1/1993,1.983424658
2/1/1993,3.202739726
3/1/1993,1.402739726
4/1/1993,1.634520548
5/1/1993,0.401643836
6/1/1993,0.653424658
7/1/1993,0.212054795
8/1/1993,0.843287671
9/1/1993,2.456849315
10/1/1993,2.963424658
11/1/1993,2.44890411
12/1/1993,4.969589041
1/1/1994,4.013835616
2/1/1994,4.478356164
3/1/1994,2.229863014
4/1/1994,0.815205479
5/1/1994,0.301917808
6/1/1994,0.421232877
7/1/1994,1.016164384
8/1/1994,1.442328767
9/1/1994,0.21630137
10/1/1994,1.434383562
11/1/1994,0.91739726
12/1/1994,3.491369863
1/1/1995,3.552465753
2/1/1995,1.818630137
3/1/1995,3.84739726
4/1/1995,1.995068493
5/1/1995,1.154657534
6/1/1995,0.43890411
7/1/1995,0.353150685
8/1/1995,0.518493151
9/1/1995,1.147123288
10/1/1995,1.916849315
11/1/1995,3.426027397
12/1/1995,4.888493151
1/1/1996,4.129726027
2/1/1996,3.197671233
3/1/1996,2.468767123
4/1/1996,1.379452055
5/1/1996,0.552328767
6/1/1996,0.091917808
7/1/1996,1.465342466
8/1/1996,0.631369863
9/1/1996,0.605205479
10/1/1996,2.753424658
11/1/1996,6.166849315
12/1/1996,3.392054795
1/1/1997,3.034931507
2/1/1997,1.799178082
3/1/1997,3.052054795
4/1/1997,2.728630137
5/1/1997,1.370547945
6/1/1997,2.111917808
7/1/1997,1.019452055
8/1/1997,0.791232877
9/1/1997,0.667671233
10/1/1997,2.178630137
11/1/1997,2.178767123
12/1/1997,1.362328767
1/1/1998,2.795890411
2/1/1998,3.394931507
3/1/1998,3.687123288
4/1/1998,1.444520548
5/1/1998,0.638767123
6/1/1998,0.119041096
7/1/1998,0.548219178
8/1/1998,1.401369863
9/1/1998,1.228219178
10/1/1998,1.615479452
11/1/1998,4.012328767
12/1/1998,2.935205479
1/1/1999,3.068767123
2/1/1999,3.100958904
3/1/1999,2.202465753
4/1/1999,1.511232877
5/1/1999,0.836438356
6/1/1999,0.296712329
7/1/1999,1.14109589
8/1/1999,0.251780822
9/1/1999,1.01
10/1/1999,2.216164384
11/1/1999,1.587123288
12/1/1999,4.025616438
1/1/2000,5.058493151
2/1/2000,4.41630137
3/1/2000,4.435068493
4/1/2000,2.018356164
5/1/2000,1.033150685
6/1/2000,0.324109589
7/1/2000,0.340958904
8/1/2000,0.323561644
9/1/2000,2.487123288
10/1/2000,1.768356164
11/1/2000,3.806986301
12/1/2000,2.127123288
1/1/2001,2.601917808
2/1/2001,1.859452055
3/1/2001,1.764657534
4/1/2001,3.050410959
5/1/2001,0.255479452
6/1/2001,0.372054795
7/1/2001,0.672191781
8/1/2001,1.482328767
9/1/2001,1.97890411
10/1/2001,3.648082192
11/1/2001,7.069041096
12/1/2001,3.495890411
1/1/2002,3.470684932
2/1/2002,1.694109589
3/1/2002,1.819589041
4/1/2002,1.505890411
5/1/2002,1.096849315
6/1/2002,0.545068493
7/1/2002,1.769041096
8/1/2002,3.321917808
9/1/2002,2.491780822
10/1/2002,0.696027397
11/1/2002,1.709863014
