ID,Latitude,Longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A001,-33.539,23.1673,1.282082192,1.326383562,1.632213115,1.917589041,1.726876712,1.979671233,2.428715847,1.540986301,1.454575342,1.521671233,1.850327869,1.690630137,1.613890411,1.538493151,1.741994536,1.314273973,2.100986301,2.271479452,1.830928962,1.416739726,1.385780822,2.043123288,1.942540984,1.622712329,1.76,1.895835616,1.072213115,1.086575342,1.370794521,0.904246575,1.41079235,1.218925373
A002,-33.0246,23.2442,0.871150685,0.92709589,0.971202186,1.308684932,1.166,1.306684932,1.589016393,0.908273973,1.050821918,1.092958904,1.38420765,1.272164384,1.096082192,0.889479452,1.256338798,0.887534247,1.377780822,1.387178082,1.053005464,1.112493151,0.927945205,1.506383562,1.318961749,1.056219178,1.192958904,1.136027397,0.724180328,0.704273973,0.79460274,0.516520548,0.989453552,0.731910448
A003,-33.3556,23.8814,1.140739726,1.158191781,1.448961749,1.817150685,1.628547945,1.783150685,2.066502732,1.36539726,1.343342466,1.415369863,1.641530055,1.551506849,1.450465753,1.322931507,1.526721311,1.220027397,1.858027397,2.011643836,1.663442623,1.277972603,1.370356164,1.944739726,1.816830601,1.454246575,1.68660274,1.978273973,1.145546448,1.128109589,1.432876712,0.970273973,1.485601093,1.222238806
A004,-33.6579,23.9473,1.140739726,1.158191781,1.448961749,1.817150685,1.628547945,1.783150685,2.066502732,1.36539726,1.343342466,1.415369863,1.641530055,1.551506849,1.450465753,1.322931507,1.526721311,1.220027397,1.858027397,2.011643836,1.663442623,1.277972603,1.370356164,1.944739726,1.816830601,1.454246575,1.68660274,1.978273973,1.145546448,1.128109589,1.432876712,0.970273973,1.485601093,1.222238806
A005,-33.9409,24.5406,1.063863014,1.024027397,1.46273224,1.614136986,1.566739726,1.701178082,1.756967213,1.388465753,1.257945205,1.253452055,1.32147541,1.416794521,1.361479452,1.260958904,1.388688525,1.122246575,1.70969863,1.871643836,1.317923497,1.045616438,1.26660274,1.618191781,1.670327869,1.272739726,1.544931507,2.240520548,1.360846995,1.383945205,1.79139726,1.316082192,1.704726776,1.542477612
A006,-34.0502,25.4854,0.842246575,1.053041096,1.10284153,1.487068493,1.259068493,1.326547945,1.612103825,1.229342466,1.475616438,1.314328767,1.527185792,1.627123288,1.762849315,1.325424658,1.367759563,1.209342466,1.778219178,1.014191781,0.755874317,0.799945205,0.90890411,1.342684932,1.391748634,0.931178082,1.118465753,1.453780822,1.044480874,1.124,1.089369863,0.709424658,1.139508197,0.899044776
A007,-33.868,26.2325,0.938849315,1.040630137,1.194508197,1.596575342,1.342794521,1.408821918,1.716065574,1.428876712,1.537123288,1.419616438,1.674125683,1.562931507,2.001972603,1.333589041,1.50010929,1.279561644,1.874054795,1.132219178,0.810710383,0.884356164,0.923863014,1.504273973,1.45010929,0.925835616,1.153972603,1.410931507,0.960163934,1.233753425,1.081342466,0.719506849,1.189180328,0.954059701
A008,-33.1443,26.3423,1.318657534,1.980630137,1.421147541,2.282027397,1.951643836,2.15230137,2.407704918,2.011452055,2.369534247,2.052273973,2.857540984,2.657123288,2.728191781,1.918027397,2.250737705,2.26460274,2.915205479,1.57490411,1.672622951,1.343123288,1.580712329,2.327150685,2.16273224,1.627780822,1.816657534,1.643835616,1.215136612,1.683534247,1.228684932,0.851506849,1.879945355,1.476507463
A009,-33.4382,26.7378,1.124383562,1.378547945,1.161967213,1.887068493,1.537945205,1.600054795,1.907622951,1.760027397,1.947150685,1.854465753,2.209808743,2.021178082,2.292821918,1.380849315,1.803142077,1.881863014,2.415835616,1.248191781,1.271775956,1.113726027,1.23860274,1.997561644,1.620901639,1.181671233,1.550630137,2.040054795,1.590245902,2.203561644,1.37,1.265315068,2.100710383,1.745850746
A010,-33.0062,24.8152,1.022410959,1.273041096,1.086885246,1.647808219,1.523068493,1.639369863,1.837076503,1.203123288,1.508958904,1.496054795,1.882322404,1.67169863,1.616328767,1.209589041,1.651857923,1.409424658,1.891342466,1.452794521,1.380601093,1.122,1.318520548,1.879287671,1.718934426,1.298465753,1.593917808,1.354219178,0.975300546,1.156191781,1.054657534,0.651890411,1.471311475,1.067880597
